CUST_ID,OPEN_ACC_DUR,AGE,GENDER_CD,HASNT_HOME_ADDRESS_INF,HASNT_MOBILE_TEL_NUM_INF,LOCAL_CUR_SAV_SLOPE,LOCAL_CUR_MON_AVG_BAL,LOCAL_CUR_MON_AVG_BAL_PROP,LOCAL_CUR_ACCT_NUM,LOCAL_OVEONEYR_FF_MON_AVG_BAL,LOCAL_FIX_MON_AVG_BAL,LOCAL_FIX_MON_AVG_BAL_PROP,LOCAL_BELONEYR_FF_SLOPE,LOCAL_BELONEYR_FF_MON_AVG_BAL,LOCAL_OVEONEYR_FF_SLOPE,LOCAL_SAV_SLOPE,LOCAL_SAV_CUR_ALL_BAL,LOCAL_SAV_MON_AVG_BAL,SAV_SLOPE,SAV_CUR_ALL_BAL,SAV_MON_AVG_BAL,FR_SAV_CUR_ALL_BAL,ASSET_CUR_ALL_BAL,ASSET_MON_AVG_BAL,LOCAL_CUR_TRANS_TX_AMT,LOCAL_CUR_TRANS_TX_NUM,LOCAL_CUR_LASTSAV_TX_AMT,LOCAL_CUR_LASTSAV_TX_NUM,LOCAL_CUR_WITHDRAW_TX_AMT,LOCAL_CUR_WITHDRAW_TX_NUM,LOCAL_FIX_OPEN_ACC_TX_NUM,LOCAL_FIX_OPEN_ACC_TX_AMT,LOCAL_FIX_WITHDRAW_TX_NUM,LOCAL_FIX_WITHDRAW_TX_AMT,LOCAL_FIX_CLOSE_ACC_TX_NUM,LOCAL_FIX_CLOSE_ACC_TX_AMT,L6M_INDFINA_ALL_TX_NUM,L6M_INDFINA_ALL_TX_AMT,POS_CONSUME_TX_AMT,POS_CONSUME_TX_NUM,ATM_ACCT_TX_NUM,ATM_ACCT_TX_AMT,ATM_NOT_ACCT_TX_NUM,ATM_ALL_TX_NUM,COUNTER_NOT_ACCT_TX_NUM,COUNTER_ACCT_TX_AMT,COUNTER_ACCT_TX_NUM,COUNTER_ALL_TX_NUM,NAT_DEBT_OPEN_ACC_DUR,FINA_OPEN_ACC_DUR,FUND_OPEN_ACC_DUR,TELEBANK_ALL_TX_NUM,CHURN_CUST_IND
11,22,49,1,N,N,0,3.28,1,1,0,0,0,0,0,0,0,3.28,3.28,0,3.28,3.28,0,3.28,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,64,29,1,Y,Y,0.000127307,78.56,0.001202213,3,65267.62,65267.62,0.998797787,0,0,0,1.53E-07,65346.23,65346.18,1.53E-07,65346.23,65346.18,0,65346.23,65346.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,57,44,2,Y,Y,1.900697366,17823.48,0.299262266,1,41734.58,41734.58,0.700737734,0,0,-0.222208369,-0.00408479,23592.47,59558.06,-0.00408479,23592.47,59558.06,0,23592.47,59558.06,10000,1,102091.64,8,0,0,0,0,17,38451.1,1,3000,0,0,119316,1,0,0,2,2,2,153542,27,29,0,0,0,0,1
14,38,72,2,Y,N,0.06587318,10099.66,0.198543585,1,40769.07,40769.07,0.801456415,0,0,-0.240375919,-0.194420857,50874.16,50868.73,-0.194420857,50874.16,50868.73,0,50874.16,50868.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,86,38,1,Y,N,0,0.38,1,1,0,0,0,0,0,0,0,0.38,0.38,0,0.38,0.38,0,0.38,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,52,29,2,N,N,0.000203707,98.2,1,1,0,0,0,0,0,0,0.000203707,98.26,98.2,0.000203707,98.26,98.2,0,98.26,98.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,34,33,2,Y,Y,-0.011325248,77451.91,1,4,0,0,0,0,0,0,-0.011325248,43358.15,77451.91,-0.011325248,43358.15,77451.91,0,43358.15,77451.91,62000,3,18079,3,7500,5,0,0,0,0,0,0,0,0,122367,4,5,7500,0,5,0,62000,3,3,0,0,0,0,1
18,66,53,2,Y,N,0,0,0,0,24516.13,24516.13,1,0,0,-0.5331545,-0.5331545,10000,24516.13,-0.5331545,10000,24516.13,0,10000,24516.13,0,0,0,0,0,0,0,0,1,30000,0,0,0,0,0,0,0,0,0,0,0,30000,1,1,0,0,0,0,1
19,62,47,2,N,N,-0.45876091,43398.45,1,1,0,0,0,0,0,0,-0.45876091,29976.07,43398.45,-0.45876091,29976.07,43398.45,0,29976.07,43398.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69615,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20,60,41,1,Y,Y,-0.447940763,534.57,1,2,0,0,0,0,0,0,-0.447940763,535.82,534.57,-0.447940763,535.82,534.57,0,535.82,534.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
21,10,30,2,N,N,-0.269185841,79310.62,1,4,0,0,0,0,0,0,-0.269185841,377.63,79310.62,-0.269185841,377.63,79310.62,0,377.63,79310.62,0,0,401275,15,388646,6,0,0,0,0,0,0,0,0,12675,4,0,0,1,1,0,789465,19,19,0,0,0,0,1
22,75,31,1,Y,N,0,10.62,1,2,0,0,0,0,0,0,0,10.63,10.62,0,10.63,10.62,0,10.63,10.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,69,25,2,Y,N,0.000317058,63.1,1,3,0,0,0,0,0,0,0.000317058,63.13,63.1,0.000317058,63.13,63.1,0,63.13,63.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,53,44,1,Y,N,0,0.55,1,1,0,0,0,0,0,0,0,0.55,0.55,0,0.55,0.55,0,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,26,39,2,Y,Y,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,30,36,1,Y,Y,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,48,29,2,Y,Y,0,16.49,1,1,0,0,0,0,0,0,0,16.5,16.49,0,16.5,16.49,0,16.5,16.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,1,48,2,Y,Y,-0.999680035,0.64,1,1,0,0,0,0,0,0,-0.999680035,1.8,0.64,-0.999680035,1.8,0.64,0,1.8,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,8,38,2,Y,N,-0.000429957,3138.5,1,1,0,0,0,-1,0,0,-0.942029762,3140.13,3138.5,-0.942029762,3140.13,3138.5,0,3140.13,3138.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,67,37,1,Y,N,-0.167032029,53287.41,1,5,0,0,0,0,0,0,-0.167032029,696.41,53287.41,-0.167032029,696.41,53287.41,0,696.41,53287.41,49600,2,128000,8,146225,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372825,15,15,0,0,0,0,1
31,57,26,2,Y,N,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,54,72,2,Y,N,0.000261712,114.66,1,1,0,0,0,0,0,0,0.000261712,114.72,114.66,0.000261712,114.72,114.66,0,114.72,114.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,12,26,2,Y,Y,0,10.03,1,1,0,0,0,0,0,0,0,10.04,10.03,0,10.04,10.03,0,10.04,10.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,4,51,2,Y,N,-0.29552202,7204.02,1,1,0,0,0,0,0,0,-0.29552202,7209.2,7204.02,-0.29552202,7209.2,7204.02,0,7209.2,7204.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,105,42,1,Y,N,0,3.62,1,1,0,0,0,0,0,0,0,3.62,3.62,0,3.62,3.62,0,3.62,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,60,29,2,Y,N,0,1.07,1,1,0,0,0,0,0,0,0,1.07,1.07,0,1.07,1.07,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,36,56,2,Y,Y,0,3.64,1,1,0,0,0,0,0,0,0,3.64,3.64,0,3.64,3.64,0,3.64,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,78,38,2,Y,N,0,6.71,1,1,0,0,0,0,0,0,0,6.72,6.71,0,6.72,6.71,0,6.72,6.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,58,37,2,Y,Y,0,7.72,1,1,0,0,0,0,0,0,0,7.73,7.72,0,7.73,7.72,0,7.73,7.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,44,35,1,N,N,0,0.95,1,1,0,0,0,0,0,0,0,0.95,0.95,0,0.95,0.95,0,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,43,29,2,Y,Y,0.000209497,73238.39,0.745517002,2,25000,25000,0.254482998,0,0,0,0.000156175,98280.9,98238.39,0.000156175,98280.9,98238.39,0,98280.9,98238.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1
42,49,39,1,N,N,0.000173581,57.62,1,1,0,0,0,0,0,0,0.000173581,57.65,57.62,0.000173581,57.65,57.62,0,57.65,57.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,48,37,1,Y,Y,-0.007463997,226.06,1,3,0,0,0,0,0,0,-0.007463997,225.35,226.06,-0.007463997,225.35,226.06,0,225.35,226.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,1,59,1,Y,Y,0.315586942,1887.17,1,1,0,0,0,0,0,0,0.315586942,1596.12,1887.17,0.315586942,1596.12,1887.17,0,1596.12,1887.17,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,1,0,0,0,0,1
45,35,57,2,Y,Y,0.00021293,1503.16,1,1,0,0,0,0,0,0,0.00021293,1504.03,1503.16,0.00021293,1504.03,1503.16,0,1504.03,1503.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,9,45,1,Y,Y,-0.000460617,434,1,2,0,0,0,0,0,0,-0.000460617,434.25,434,-0.000460617,434.25,434,0,434.25,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,23,28,1,Y,Y,1.678591626,26997.9,1,2,0,0,0,0,0,0,1.678591626,25027.27,26997.9,1.678591626,25027.27,26997.9,0,25027.27,26997.9,0,0,0,0,5100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5100,1,1,0,0,0,0,1
48,25,55,2,Y,Y,-0.991985534,3.59,0.000109107,1,0,32899.94,0.999890893,-0.13250245,32899.94,0,-0.142535451,3.85,32903.53,-0.142535451,3.85,32903.53,0,3.85,32903.53,0,0,0,0,0,0,0,0,0,0,1,40795.92,0,0,0,0,0,0,0,0,0,40796,1,1,0,0,0,0,1
49,12,43,2,Y,Y,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,65,41,2,N,N,-0.186308536,26844.43,1,1,0,0,0,0,0,0,-0.186308536,32.89,26844.43,-0.186308536,32.89,26844.43,0,32.89,26844.43,0,0,0,0,39560,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39560,1,1,0,0,0,0,1
51,50,38,1,Y,N,-0.867356052,3662.44,1,2,0,0,0,0,0,0,-0.867356052,3681.73,3662.44,-0.867356052,3681.73,3662.44,0,3681.73,3662.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,33,38,2,N,N,0,4.25,1,1,0,0,0,0,0,0,0,4.25,4.25,0,4.25,4.25,0,4.25,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,8,65,1,N,N,0.088893314,86134.51,1,1,0,0,0,0,0,0,0.088893314,86179.3,86134.51,0.088893314,86179.3,86134.51,0,86179.3,86134.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,5,77,1,Y,Y,0,0,0,0,0,90000,1,0,90000,0,0,90000,90000,0,90000,90000,0,90000,90000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,14,56,1,Y,Y,0,10.04,1,1,0,0,0,0,0,0,0,10.05,10.04,0,10.05,10.04,0,10.05,10.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,43,30,1,N,N,0.69762768,90036.57,1,1,0,0,0,0,0,0,0.69762768,90059.71,90036.57,0.69762768,90059.71,90036.57,0,90059.71,90036.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57,105,34,1,Y,N,-0.02113127,137.58,1,1,0,0,0,0,0,0,-0.02113127,0,137.58,-0.02113127,0,137.58,0,0,137.58,0,0,0,0,10.47,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,142,2,5,0,0,0,0,1
58,63,33,2,Y,Y,0.000224403,490.3,1,1,0,0,0,0,0,0,0.000224403,490.58,490.3,0.000224403,490.58,490.3,0,490.58,490.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,70,37,1,Y,N,-0.297747137,42452.26,1,4,0,0,0,0,0,0,-0.297747137,12950.14,42452.26,-0.297747137,12950.14,42452.26,0,12950.14,42452.26,3245,2,132314,4,130000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,265560,7,10,0,0,0,0,1
60,13,44,1,N,N,-0.827332438,9919.71,1,1,0,0,0,0,0,0,-0.827332438,276.12,9919.71,-0.827332438,276.12,9919.71,0,276.12,9919.71,0,0,0,0,200000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000,2,2,0,0,0,0,1
61,66,24,1,Y,N,-0.195564061,57957.18,1,2,0,0,0,0,0,0,-0.195564061,50088.29,57957.18,-0.195564061,50088.29,57957.18,0,50088.29,57957.18,0,0,0,0,19950,4,0,0,0,0,0,0,0,0,1781,5,3,4800,3,6,2,15150,1,3,0,0,0,0,1
62,86,52,2,Y,Y,0.000208505,2878.23,1,1,0,0,0,0,0,0,0.000208505,2879.9,2878.23,0.000208505,2879.9,2878.23,0,2879.9,2878.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,13,51,1,Y,Y,-0.799383923,21752.39,1,2,0,0,0,0,0,0,-0.799383923,21828.38,21752.39,-0.799383923,21828.38,21752.39,0,21828.38,21752.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,40,35,1,N,N,0,0.05,1,1,0,0,0,0,0,0,0,0.05,0.05,0,0.05,0.05,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,53,31,2,N,N,0.000388954,25.72,1,2,0,0,0,0,0,0,0.000388954,25.73,25.72,0.000388954,25.73,25.72,0,25.73,25.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,3,71,1,N,N,-0.169625462,41394.37,1,1,0,0,0,0,0,0,-0.169625462,4292.02,41394.37,-0.169625462,4292.02,41394.37,0,4292.02,41394.37,0,0,0,0,50000,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,50000,1,1,0,0,0,0,1
67,70,43,2,Y,Y,-0.41691228,42152.42,1,5,0,0,0,0,0,0,-0.41691228,15635.39,42152.42,-0.41691228,15635.39,42152.42,0,15635.39,42152.42,0,0,9000,1,82500,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91500,3,3,0,0,0,0,1
68,45,25,2,N,N,0,9.48,1,1,0,0,0,0,0,0,0,9.49,9.48,0,9.49,9.48,0,9.49,9.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,9,46,1,Y,N,-0.473137054,6028.84,1,1,0,0,0,0,0,0,-0.473137054,6036.09,6028.84,-0.473137054,6036.09,6028.84,0,6036.09,6028.84,6000,1,1500,1,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9500,3,4,0,0,0,0,1
70,28,34,2,Y,Y,0.517811543,80384.21,1,1,0,0,0,0,0,0,0.517811543,23740.09,80384.21,0.517811543,23740.09,80384.21,0,23740.09,80384.21,0,0,0,0,119999,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,119999,2,5,0,0,0,0,1
71,76,31,1,Y,N,0.035101618,95795.27,1,2,0,0,0,0,0,0,0.035101618,52028.08,95795.27,0.035101618,52028.08,95795.27,0,52028.08,95795.27,70000,2,0,0,108000,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,178000,5,6,0,0,0,0,1
72,66,31,2,Y,Y,0.000175386,60106.48,1,3,0,0,0,0,0,0,0.000175386,60140.23,60106.48,0.000175386,60140.23,60106.48,0,60140.23,60106.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,57,37,1,Y,Y,0.00020928,23657.48,1,2,0,0,0,0,0,0,0.00020928,23671.22,23657.48,0.00020928,23671.22,23657.48,0,23671.22,23657.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,32,29,2,Y,Y,-0.923105145,505.1,1,2,0,0,0,-1,0,0,-0.964296141,516.33,505.1,-0.964296141,516.33,505.1,0,516.33,505.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,0,0,0,0,1
75,4,56,1,N,N,-0.19868332,46554.6,1,1,0,0,0,0,0,0,-0.19868332,44968.79,46554.6,-0.19868332,44968.79,46554.6,0,44968.79,46554.6,0,0,0,0,10000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,10000,1,1,0,0,0,0,1
76,36,53,1,N,N,0,13.8,1,1,0,0,0,0,0,0,0,13.81,13.8,0,13.81,13.8,0,13.81,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77,42,39,1,Y,Y,-0.280720231,62804.1,1,1,0,0,0,0,0,0,-0.280720231,60276.98,62804.1,-0.280720231,60276.98,62804.1,0,60276.98,62804.1,0,0,0,0,40000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,1,1,0,0,0,0,1
78,62,42,2,Y,Y,0.00012276,81.47,1,1,0,0,0,0,0,0,0.00012276,81.52,81.47,0.00012276,81.52,81.47,0,81.52,81.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,70,30,2,Y,N,0,5.16,1,1,0,0,0,0,0,0,0,5.16,5.16,0,5.16,5.16,0,5.16,5.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,42,56,2,Y,N,0.00020925,6213.96,0.142262129,2,0,0,0,0,0,0,0.00020925,6217.57,6213.96,0.00020925,6217.57,6213.96,0,44295.15,43679.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,56,61,1,Y,N,0.156617299,16770.28,0.249455506,2,50457.26,50457.26,0.750544494,0,0,0.005976374,0.039757848,68043.81,67227.54,0.039757848,68043.81,67227.54,0,68043.81,67227.54,800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,1,1,0,0,0,0,1
82,67,31,1,Y,N,0,16.88,1,1,0,0,0,0,0,0,0,16.89,16.88,0,16.89,16.88,0,16.89,16.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
83,40,53,1,Y,Y,-0.998389248,19.31,1,1,0,0,0,-1,0,0,-0.998723064,21.05,19.31,-0.998723064,21.05,19.31,0,21.05,19.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
84,99,64,1,N,N,-0.632849273,1153.65,1,1,0,0,0,0,0,0,-0.632849273,1979.05,1153.65,-0.632849273,1979.05,1153.65,0,1979.05,1153.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
85,48,41,2,N,N,-0.396251149,9805.31,1,1,0,0,0,0,0,0,-0.396251149,31.73,9805.31,-0.396251149,31.73,9805.31,0,31.73,9805.31,0,0,0,0,18930,6,0,0,0,0,0,0,0,0,0,0,5,10000,1,6,1,8930,1,2,0,0,0,0,1
86,2,59,2,Y,Y,0,0,0,0,35000,35000,1,0,0,0.168831342,0.168831342,35000,35000,0.168831342,35000,35000,0,35000,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
